"library_id" "total_spots" "total_bases" "taxonomy_id" "ScientificName"
"SRR21358419" 780068 117010200 1869227 "bacterium"
"SRR21362890" 727913 218373900 1869227 "bacterium"
"SRR21358671" 864834 129725100 1869227 "bacterium"
"SRR21358793" 696736 104510400 1869227 "bacterium"
"SRR21359030" 2070194 310529100 1869227 "bacterium"
"SRR21358624" 1993072 298960800 1869227 "bacterium"
"SRR21358919" 980526 147078900 1869227 "bacterium"
"SRR21361025" 1468904 440671200 1869227 "bacterium"
"SRR21358572" 1946066 291909900 1869227 "bacterium"
"SRR21362478" 276274 82882200 1869227 "bacterium"
"SRR21362267" 1774602 532380600 1869227 "bacterium"
"SRR21360191" 52368 7855200 1869227 "bacterium"
"SRR21359033" 3203708 480556200 1869227 "bacterium"
"SRR21361871" 57177 17153100 1869227 "bacterium"
"SRR21361003" 424320 63648000 1869227 "bacterium"
"SRR12182999" 240689 70874094 1869227 "bacterium"
"SRR12182926" 409375 120531592 1869227 "bacterium"
"SRR21359034" 745406 111810900 1869227 "bacterium"
"SRR21358191" 605450 90817500 1869227 "bacterium"
"SRR21361445" 163634 49090200 1869227 "bacterium"
"SRR21358477" 394 59100 1869227 "bacterium"
"SRR21360125" 874626 131193900 1869227 "bacterium"
"SRR21362735" 1229149 368744700 1869227 "bacterium"
"SRR21360839" 51250 7687500 1869227 "bacterium"
"SRR21359447" 1161332 174199800 1869227 "bacterium"
"SRR21359057" 1237548 185632200 1869227 "bacterium"
"SRR21362826" 1088564 326569200 1869227 "bacterium"
"SRR21362666" 660682 198204600 1869227 "bacterium"
"SRR21358552" 669234 100385100 1869227 "bacterium"
"SRR21359140" 1499618 224942700 1869227 "bacterium"
"SRR21358319" 1229078 184361700 1869227 "bacterium"
"SRR21359606" 4948402 742260300 1869227 "bacterium"
"SRR21360143" 1526786 229017900 1869227 "bacterium"
"SRR21362221" 637163 191148900 1869227 "bacterium"
"SRR21358199" 373536 56030400 1869227 "bacterium"
"SRR21360177" 115226 17283900 1869227 "bacterium"
"SRR21360480" 1638694 245804100 1869227 "bacterium"
"SRR21360018" 518548 155564400 1869227 "bacterium"
"SRR21358719" 380682 57102300 1869227 "bacterium"
"SRR21359629" 1045732 156859800 1869227 "bacterium"
"SRR21360915" 14150 2122500 1869227 "bacterium"
"SRR21361782" 214583 64374900 1869227 "bacterium"
"SRR21361303" 196749 59024700 1869227 "bacterium"
"SRR12182906" 614653 181615065 1869227 "bacterium"
"SRR21361160" 750087 225026100 1869227 "bacterium"
"SRR21358628" 809104 121365600 1869227 "bacterium"
"SRR21361835" 548883 164664900 1869227 "bacterium"
"SRR21361316" 222756 66826800 1869227 "bacterium"
"SRR21361730" 108147 32444100 1869227 "bacterium"
"SRR21358601" 1496830 224524500 1869227 "bacterium"
"SRR21360317" 933942 140091300 1869227 "bacterium"
"SRR21362097" 389866 116959800 1869227 "bacterium"
"SRR12182905" 497926 147133435 1869227 "bacterium"
"SRR21358122" 1283948 192592200 1869227 "bacterium"
"SRR21362817" 780738 234221400 1869227 "bacterium"
"SRR21361249" 334348 100304400 1869227 "bacterium"
"SRR21361208" 332588 99776400 1869227 "bacterium"
"SRR21358773" 1386588 207988200 1869227 "bacterium"
"SRR21361297" 658607 197582100 1869227 "bacterium"
"SRR21361351" 54315 16294500 1869227 "bacterium"
"SRR21361754" 584898 175469400 1869227 "bacterium"
"SRR21360339" 877000 131550000 1869227 "bacterium"
"SRR21361391" 169102 50730600 1869227 "bacterium"
"SRR12182825" 487120 143559670 1869227 "bacterium"
"SRR21358195" 457874 68681100 1869227 "bacterium"
"SRR21362237" 270004 81001200 1869227 "bacterium"
"SRR21362023" 122 36600 1869227 "bacterium"
"SRR21360517" 1953826 293073900 1869227 "bacterium"
"SRR21361237" 119636 35890800 1869227 "bacterium"
"SRR21360044" 1453970 218095500 1869227 "bacterium"
"SRR21362927" 699645 209893500 1869227 "bacterium"
"SRR21361572" 809766 242929800 1869227 "bacterium"
"SRR21362116" 176644 52993200 1869227 "bacterium"
"SRR21362691" 691352 207405600 1869227 "bacterium"
"SRR21359090" 966164 144924600 1869227 "bacterium"
"SRR21361006" 565560 84834000 1869227 "bacterium"
"SRR21362823" 776688 233006400 1869227 "bacterium"
"SRR21358489" 2307402 346110300 1869227 "bacterium"
"SRR21359126" 787176 118076400 1869227 "bacterium"
"SRR21359399" 2051922 307788300 1869227 "bacterium"
"SRR21361618" 254072 76221600 1869227 "bacterium"
"SRR21361562" 9877 2963100 1869227 "bacterium"
"SRR21358278" 495562 74334300 1869227 "bacterium"
"SRR21361179" 128 38400 1869227 "bacterium"
"SRR21362043" 463057 138917100 1869227 "bacterium"
"SRR21361505" 1906582 571974600 1869227 "bacterium"
"SRR21360494" 3626954 544043100 1869227 "bacterium"
"SRR21359468" 2149316 322397400 1869227 "bacterium"
"SRR21359226" 1319444 197916600 1869227 "bacterium"
"SRR21362825" 202695 60808500 1869227 "bacterium"
"SRR21360828" 979984 146997600 1869227 "bacterium"
"SRR21362692" 973026 291907800 1869227 "bacterium"
"SRR21362076" 230115 69034500 1869227 "bacterium"
"SRR21362511" 412443 123732900 1869227 "bacterium"
"SRR21358089" 711802 106770300 1869227 "bacterium"
"SRR21359036" 1610160 241524000 1869227 "bacterium"
"SRR21359164" 1025944 153891600 1869227 "bacterium"
"SRR21359395" 150092 22513800 1869227 "bacterium"
"SRR21361547" 397007 119102100 1869227 "bacterium"
"SRR21360308" 2618020 392703000 1869227 "bacterium"
"SRR21361955" 205011 61503300 1869227 "bacterium"
"SRR21358421" 1681772 252265800 1869227 "bacterium"
"SRR21361893" 5418400 1625520000 1869227 "bacterium"
"SRR21362842" 948480 284544000 1869227 "bacterium"
"SRR21358543" 1340174 201026100 1869227 "bacterium"
"SRR21361470" 391307 117392100 1869227 "bacterium"
"SRR21360282" 1176 176400 1869227 "bacterium"
"SRR21359134" 1543928 231589200 1869227 "bacterium"
"SRR21362639" 431025 129307500 1869227 "bacterium"
"SRR21360452" 56584 8487600 1869227 "bacterium"
"SRR21359801" 955944 143391600 1869227 "bacterium"
"SRR21362071" 520919 156275700 1869227 "bacterium"
"SRR21358615" 812318 121847700 1869227 "bacterium"
"SRR21360375" 643756 96563400 1869227 "bacterium"
"SRR21359426" 214178 32126700 1869227 "bacterium"
"SRR21358386" 851964 127794600 1869227 "bacterium"
"SRR21358605" 1857016 278552400 1869227 "bacterium"
"SRR21360202" 1384110 207616500 1869227 "bacterium"
"SRR21362667" 392826 117847800 1869227 "bacterium"
"SRR21358864" 1287314 193097100 1869227 "bacterium"
"SRR21360449" 1409632 211444800 1869227 "bacterium"
"SRR21358082" 1137574 170636100 1869227 "bacterium"
"SRR21358373" 1018730 152809500 1869227 "bacterium"
"SRR21362845" 1284284 385285200 1869227 "bacterium"
"SRR21358390" 1381656 207248400 1869227 "bacterium"
"SRR12182867" 503367 148558871 1869227 "bacterium"
"SRR21360391" 33622 5043300 1869227 "bacterium"
"SRR21358377" 668628 100294200 1869227 "bacterium"
"SRR21361129" 1226525 367957500 1869227 "bacterium"
"SRR21360498" 322420 48363000 1869227 "bacterium"
"SRR21358348" 1973672 296050800 1869227 "bacterium"
"SRR21358309" 320426 48063900 1869227 "bacterium"
"SRR21362044" 20464 6139200 1869227 "bacterium"
"SRR21363094" 284248 85274400 1869227 "bacterium"
"SRR21359865" 1402988 210448200 1869227 "bacterium"
"SRR21358342" 1837670 275650500 1869227 "bacterium"
"SRR21358648" 630276 94541400 1869227 "bacterium"
"SRR21358734" 551948 82792200 1869227 "bacterium"
